"area_name","area_code","date","new_cases","total_cases"
"Kensington and Chelsea","E09000020",2020-05-14,0,515
"Kingston upon Thames","E09000021",2020-05-14,12,667
"Lambeth","E09000022",2020-05-14,9,1281
"Lewisham","E09000023",2020-05-14,3,1120
"Merton","E09000024",2020-05-14,3,835
"Newham","E09000025",2020-05-14,5,1144
"Redbridge","E09000026",2020-05-14,1,971
"Richmond upon Thames","E09000027",2020-05-14,1,480
"Southwark","E09000028",2020-05-14,4,1372
"Sutton","E09000029",2020-05-14,5,897
"Tower Hamlets","E09000030",2020-05-14,1,721
"Waltham Forest","E09000031",2020-05-14,2,918
"Wandsworth","E09000032",2020-05-14,3,1074
"Westminster","E09000033",2020-05-14,5,705
"Barking and Dagenham","E09000002",2020-05-15,1,636
"Barnet","E09000003",2020-05-15,5,1473
"Bexley","E09000004",2020-05-15,2,923
"Brent","E09000005",2020-05-15,3,1591
"Bromley","E09000006",2020-05-15,10,1433
"Camden","E09000007",2020-05-15,1,656
"Croydon","E09000008",2020-05-15,9,1720
"Ealing","E09000009",2020-05-15,11,1390
"Enfield","E09000010",2020-05-15,4,1074
"Greenwich","E09000011",2020-05-15,8,858
"Hackney and City of London","E09000012",2020-05-15,3,742
"Hammersmith and Fulham","E09000013",2020-05-15,2,686
"Haringey","E09000014",2020-05-15,7,689
"Harrow","E09000015",2020-05-15,5,1187
"Havering","E09000016",2020-05-15,7,848
"Hillingdon","E09000017",2020-05-15,3,972
"Hounslow","E09000018",2020-05-15,5,927
"Islington","E09000019",2020-05-15,4,499
"Kensington and Chelsea","E09000020",2020-05-15,1,516
"Kingston upon Thames","E09000021",2020-05-15,3,670
"Lambeth","E09000022",2020-05-15,7,1288
"Lewisham","E09000023",2020-05-15,1,1121
"Merton","E09000024",2020-05-15,3,838
"Newham","E09000025",2020-05-15,2,1146
"Redbridge","E09000026",2020-05-15,3,974
"Richmond upon Thames","E09000027",2020-05-15,4,484
"Southwark","E09000028",2020-05-15,5,1377
"Sutton","E09000029",2020-05-15,1,898
"Tower Hamlets","E09000030",2020-05-15,2,723
"Waltham Forest","E09000031",2020-05-15,1,919
"Wandsworth","E09000032",2020-05-15,6,1080
"Westminster","E09000033",2020-05-15,2,707
"Barking and Dagenham","E09000002",2020-05-16,2,638
"Barnet","E09000003",2020-05-16,2,1475
"Bexley","E09000004",2020-05-16,1,924
"Brent","E09000005",2020-05-16,1,1592
"Bromley","E09000006",2020-05-16,5,1438
"Camden","E09000007",2020-05-16,1,657
"Croydon","E09000008",2020-05-16,9,1729
"Ealing","E09000009",2020-05-16,1,1391
"Enfield","E09000010",2020-05-16,7,1081
"Greenwich","E09000011",2020-05-16,3,861
"Hackney and City of London","E09000012",2020-05-16,1,743
"Hammersmith and Fulham","E09000013",2020-05-16,0,686
"Haringey","E09000014",2020-05-16,5,694
"Harrow","E09000015",2020-05-16,0,1187
"Havering","E09000016",2020-05-16,4,852
"Hillingdon","E09000017",2020-05-16,5,977
"Hounslow","E09000018",2020-05-16,3,930
"Islington","E09000019",2020-05-16,2,501
"Kensington and Chelsea","E09000020",2020-05-16,0,516
"Kingston upon Thames","E09000021",2020-05-16,1,671
"Lambeth","E09000022",2020-05-16,1,1289
"Lewisham","E09000023",2020-05-16,3,1124
"Merton","E09000024",2020-05-16,2,840
"Newham","E09000025",2020-05-16,2,1148
"Redbridge","E09000026",2020-05-16,7,981
"Richmond upon Thames","E09000027",2020-05-16,1,485
"Southwark","E09000028",2020-05-16,2,1379
